DELV_YR,DELV_MM,HSMP_SNO,HSMP_NM,FMHS_CODE,PDLT_NM,DELV_QYT,EPOT_ETPS_NM,NTN_NM,ETL_LDG_DT
2025,01,46,보성키위영농조합법인,F045***,키위,1150,영농조합법인 광수,일본,20250317023124
2025,01,46,보성키위영농조합법인,F045***,키위,620,영농조합법인 광수,일본,20250317023124
2025,01,46,보성키위영농조합법인,F045***,키위,230,영농조합법인 광수,일본,20250317023124
2025,01,46,보성키위영농조합법인,F045***,키위,2660,(주)원스인터내셔널,일본,20250317023124
2025,01,46,보성키위영농조합법인,F045***,키위,1290,(주)원스인터내셔널,일본,20250317023124
2025,01,46,보성키위영농조합법인,F045***,키위,2970,(주)원스인터내셔널,일본,20250317023124
2025,01,46,보성키위영농조합법인,F045***,키위,1440,(주)원스인터내셔널,일본,20250317023124
2025,01,46,보성키위영농조합법인,F045***,키위,2840,(주)원스인터내셔널,일본,20250317023124
2025,01,46,보성키위영농조합법인,F045***,키위,1250,(주)원스인터내셔널,일본,20250317023124
2025,01,46,보성키위영농조합법인,F045***,키위,670,(주)원스인터내셔널,일본,20250317023124
2025,01,46,보성키위영농조합법인,F045***,키위,2040,(주)원스인터내셔널,일본,20250317023124
2025,01,46,보성키위영농조합법인,F045***,키위,3650,(주)원스인터내셔널,일본,20250317023124
2025,01,46,보성키위영농조합법인,F045***,키위,540,(주)원스인터내셔널,일본,20250317023124
2025,01,46,보성키위영농조합법인,F045***,키위,30,(주)원스인터내셔널,일본,20250317023124
2025,01,46,보성키위영농조합법인,F045***,키위,620,(주)원스인터내셔널,일본,20250317023124
2025,01,24,평택원예농협 산지유통센터,F023***,배,3612,(주)엔에이치농협무역,미국,20250317023124
2025,01,24,평택원예농협 산지유통센터,F023***,배,720,(주)엔에이치농협무역,미국,20250317023124
2025,01,24,평택원예농협 산지유통센터,F023***,배,708,(주)엔에이치농협무역,미국,20250317023124
2025,01,40,천안배수출단지(미국),F039***,배,184,주식회사 스마일프레쉬,미국,20250317023124
2025,01,40,천안배수출단지(미국),F039***,배,101,주식회사 스마일프레쉬,미국,20250317023124
2025,01,40,천안배수출단지(미국),F039***,배,607,주식회사 스마일프레쉬,미국,20250317023124
2025,01,40,천안배수출단지(미국),F039***,배,239,주식회사 스마일프레쉬,미국,20250317023124
2025,01,40,천안배수출단지(미국),F039***,배,64,주식회사 스마일프레쉬,미국,20250317023124
2025,01,40,천안배수출단지(미국),F039***,배,110,주식회사 스마일프레쉬,미국,20250317023124
2025,01,40,천안배수출단지(미국),F039***,배,147,주식회사 스마일프레쉬,미국,20250317023124
2025,01,40,천안배수출단지(미국),F039***,배,230,주식회사 스마일프레쉬,미국,20250317023124
